"Estimated resident population by local government area (LGA), Queensland, 1991 to 2016pr",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
LGA,Estimated resident population at 30 June,,,,,,,,,,,,,,,,,,,,,,,,,
,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012pr,2013pr,2014pr,2015pr,2016pr
,— number — ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Highlands (R),"25,161","25,825","26,000","25,744","25,795","25,790","25,670","25,399","25,081","24,708","24,581","25,054","25,540","26,141","26,661","27,265","27,596","28,090","28,714","29,082","29,541","29,762","29,820","29,671","29,241","28,783"
Charters Towers (R),"12,764","12,731","12,715","12,621","12,432","12,357","12,289","12,242","12,158","12,052","12,007","11,962","11,939","11,872","11,783","11,729","11,915","12,096","12,239","12,316","12,434","12,402","12,386","12,366","12,233","12,074"
Cherbourg (S),"1,143","1,137","1,142","1,122","1,123","1,126","1,149","1,148","1,162","1,171","1,186","1,191","1,197","1,192","1,188","1,182","1,190","1,206","1,222","1,245","1,264","1,284","1,293","1,302","1,307","1,296"
Cloncurry (S),"3,135","3,131","3,148","3,164","3,134","3,170","3,311","3,460","3,536","3,644","3,754","3,664","3,552","3,424","3,342","3,248","3,250","3,308","3,304","3,301","3,342","3,356","3,323","3,264","3,172","3,114"
Cook (S),"2,923","2,961","3,015","3,055","3,092","3,169","3,235","3,410","3,547","3,578","3,636","3,650","3,611","3,696","3,626","3,565","3,650","3,787","3,988","4,135","4,409","4,237","4,272","4,139","4,319","4,424"
Croydon (S),236,246,255,265,273,285,290,290,288,280,282,277,274,266,271,264,271,297,307,319,327,318,310,306,301,300
Diamantina (S),246,260,275,289,303,321,327,327,334,326,320,313,301,295,294,291,290,295,296,293,292,295,299,303,302,297
Doomadgee (S),"1,055","1,019",989,948,905,885,943,"1,000","1,073","1,116","1,178","1,166","1,154","1,142","1,136","1,129","1,194","1,235","1,273","1,327","1,374","1,368","1,399","1,423","1,455","1,474"
Douglas (S),"7,476","7,837","8,088","8,512","8,948","9,341","9,813","10,041","10,093","10,044","10,264","10,442","10,522","10,453","10,369","10,524","10,768","10,995","11,116","11,146","11,186","11,367","11,556","11,719","11,828","11,997"
Etheridge (S),"1,037","1,029","1,011",985,959,949,949,946,954,968,997,972,941,897,883,869,902,915,927,923,929,899,868,848,828,819
